time,EMA
2022-03-30 16:00,366.9549
2022-03-30 15:55,367.0617
2022-03-30 15:50,367.0966
2022-03-30 15:45,367.2005
2022-03-30 15:40,367.3195
2022-03-30 15:35,367.4205
2022-03-30 15:30,367.5552
2022-03-30 15:25,367.7547
2022-03-30 15:20,367.9173
2022-03-30 15:15,368.0202
2022-03-30 15:10,368.1571
2022-03-30 15:05,368.2937
2022-03-30 15:00,368.3993
2022-03-30 14:55,368.4898
2022-03-30 14:50,368.5834
2022-03-30 14:45,368.6659
2022-03-30 14:40,368.6981
2022-03-30 14:35,368.7516
2022-03-30 14:30,368.8518
2022-03-30 14:25,368.9351
2022-03-30 14:20,369.0146
2022-03-30 14:15,369.0540
2022-03-30 14:10,369.0871
2022-03-30 14:05,369.1268
2022-03-30 14:00,369.2043
2022-03-30 13:55,369.2469
2022-03-30 13:50,369.2782
2022-03-30 13:45,369.3222
2022-03-30 13:40,369.3592
2022-03-30 13:35,369.3718
2022-03-30 13:30,369.4004
2022-03-30 13:25,369.4205
2022-03-30 13:20,369.4331
2022-03-30 13:15,369.3808
2022-03-30 13:10,369.3757
2022-03-30 13:05,369.3299
2022-03-30 13:00,369.2647
2022-03-30 12:55,369.1999
2022-03-30 12:50,369.1399
2022-03-30 12:45,369.0641
2022-03-30 12:40,369.0035
2022-03-30 12:35,368.9765
2022-03-30 12:30,368.9602
2022-03-30 12:25,368.9623
2022-03-30 12:20,368.9636
2022-03-30 12:15,368.9829
2022-03-30 12:10,369.0032
2022-03-30 12:05,368.9741
2022-03-30 12:00,368.9682
2022-03-30 11:55,368.9967
2022-03-30 11:50,369.0385
2022-03-30 11:45,369.0783
2022-03-30 11:40,369.1107
2022-03-30 11:35,369.1507
2022-03-30 11:30,369.2561
2022-03-30 11:25,369.3572
2022-03-30 11:20,369.4548
2022-03-30 11:15,369.5817
2022-03-30 11:10,369.7492
2022-03-30 11:05,369.8544
2022-03-30 11:00,369.9338
2022-03-30 10:55,369.9690
2022-03-30 10:50,369.9404
2022-03-30 10:45,369.9036
2022-03-30 10:40,369.8103
2022-03-30 10:35,369.7514
2022-03-30 10:30,369.6674
2022-03-30 10:25,369.5702
2022-03-30 10:20,369.5144
2022-03-30 10:15,369.3970
2022-03-30 10:10,369.4114
2022-03-30 10:05,369.3768
2022-03-30 10:00,369.3270
2022-03-30 09:55,369.3025
2022-03-30 09:50,369.2059
2022-03-30 09:45,369.1528
2022-03-30 09:40,369.1721
2022-03-30 09:35,369.0891
2022-03-30 09:30,369.0696
2022-03-30 09:25,369.0727
2022-03-30 09:20,369.0761
2022-03-30 09:15,369.0841
2022-03-30 09:10,369.1130
2022-03-30 09:05,369.1438
2022-03-30 09:00,369.1453
2022-03-30 08:55,369.1711
2022-03-30 08:50,369.2186
2022-03-30 08:45,369.2490
2022-03-30 08:40,369.2710
2022-03-30 08:35,369.3174
2022-03-30 08:30,369.4129
2022-03-30 08:25,369.5090
2022-03-30 08:20,369.5847
2022-03-30 08:15,369.6567
2022-03-30 08:10,369.6627
2022-03-30 08:05,369.6651
2022-03-30 08:00,369.6741
2022-03-30 07:55,369.6471
2022-03-30 07:50,369.6237
2022-03-30 07:45,369.6009
2022-03-30 07:40,369.5694
2022-03-30 07:35,369.5209
2022-03-30 07:30,369.4916
