time,open,high,low,close,volume
2020-04-27 06:29:00,216.53,216.53,216.53,216.53,100
2020-04-27 06:27:00,216.56,216.56,216.56,216.56,380
2020-04-27 06:26:00,216.49,216.49,216.49,216.49,338
2020-04-27 06:25:00,216.48,216.49,216.48,216.49,578
2020-04-27 06:24:00,216.53,216.53,216.51,216.51,603
2020-04-27 06:23:00,216.63,216.63,216.51,216.51,525
2020-04-27 06:21:00,216.68,216.68,216.68,216.68,110
2020-04-27 06:20:00,216.71,216.71,216.7,216.7,350
2020-04-27 06:19:00,216.61,216.61,216.61,216.61,100
2020-04-27 06:18:00,216.71,216.71,216.66,216.66,800
2020-04-27 06:17:00,216.69,216.69,216.69,216.69,306
2020-04-27 06:16:00,216.69,216.69,216.69,216.69,563
2020-04-27 06:15:00,216.64,216.64,216.64,216.64,100
2020-04-27 06:14:00,216.65,216.65,216.65,216.65,338
2020-04-27 06:13:00,216.58,216.62,216.57,216.61,3205
2020-04-27 06:11:00,216.54,216.54,216.54,216.54,100
2020-04-27 06:07:00,216.57,216.57,216.57,216.57,150
2020-04-27 06:06:00,216.56,216.56,216.56,216.56,380
2020-04-27 06:05:00,216.6,216.6,216.57,216.57,575
2020-04-27 06:04:00,216.76,216.76,216.7,216.72,3960
2020-04-27 06:03:00,216.8,216.8,216.75,216.75,2705
2020-04-27 06:02:00,216.82,216.82,216.82,216.82,430
2020-04-27 05:57:00,216.83,216.83,216.83,216.83,700
2020-04-27 05:55:00,216.86,216.86,216.86,216.86,100
2020-04-27 05:51:00,216.9,216.91,216.9,216.91,800
2020-04-27 05:50:00,216.81,216.81,216.81,216.81,1050
2020-04-27 05:48:00,216.8,216.8,216.8,216.8,100
2020-04-27 05:47:00,216.85,216.85,216.85,216.85,103
2020-04-27 05:46:00,216.97,216.97,216.97,216.97,1000
2020-04-27 05:45:00,217.09,217.09,217.03,217.07,1836
2020-04-27 05:44:00,216.94,217.0,216.94,217.0,1103
2020-04-27 05:43:00,216.93,216.93,216.93,216.93,100
2020-04-27 05:42:00,216.79,216.79,216.79,216.79,200
2020-04-27 05:39:00,216.85,216.85,216.85,216.85,300
2020-04-27 05:38:00,216.85,216.85,216.85,216.85,400
2020-04-27 05:35:00,216.85,216.85,216.85,216.85,100
2020-04-27 05:33:00,216.88,216.88,216.88,216.88,304
2020-04-27 05:32:00,216.97,217.03,216.97,216.98,1056
2020-04-27 05:29:00,216.84,216.89,216.84,216.87,687
2020-04-27 05:28:00,216.86,216.86,216.83,216.83,660
2020-04-27 05:27:00,216.75,216.83,216.75,216.83,320
2020-04-27 05:24:00,216.79,216.83,216.79,216.83,319
2020-04-27 05:22:00,216.75,216.81,216.75,216.81,1302
2020-04-27 05:21:00,216.79,216.79,216.79,216.79,900
2020-04-27 05:19:00,216.79,216.8,216.78,216.79,3589
2020-04-27 05:18:00,216.8,216.85,216.8,216.85,550
2020-04-27 05:17:00,216.8,216.8,216.8,216.8,100
2020-04-27 05:16:00,216.73,216.73,216.73,216.73,170
2020-04-27 05:15:00,216.73,216.73,216.67,216.67,1193
2020-04-27 05:14:00,216.64,216.64,216.64,216.64,1000
2020-04-27 05:13:00,216.54,216.71,216.54,216.71,618
2020-04-27 05:12:00,216.54,216.54,216.52,216.52,200
2020-04-27 05:10:00,216.4,216.4,216.4,216.4,2071
2020-04-27 05:09:00,216.49,216.49,216.49,216.49,684
2020-04-27 05:08:00,216.47,216.47,216.42,216.42,513
2020-04-27 05:06:00,216.47,216.47,216.47,216.47,100
2020-04-27 05:05:00,216.37,216.4,216.37,216.4,8500
2020-04-27 05:00:00,216.56,216.56,216.56,216.56,100
2020-04-27 04:57:00,216.56,216.56,216.56,216.56,550
2020-04-27 04:54:00,216.43,216.43,216.43,216.43,300
2020-04-27 04:52:00,216.4,216.4,216.4,216.4,519
2020-04-27 04:49:00,216.45,216.45,216.45,216.45,101
2020-04-27 04:46:00,216.28,216.28,216.28,216.28,100
2020-04-27 04:45:00,216.38,216.38,216.38,216.38,1054
2020-04-27 04:43:00,216.42,216.42,216.42,216.42,150
2020-04-27 04:42:00,216.46,216.54,216.46,216.54,1261
2020-04-27 04:41:00,216.35,216.35,216.35,216.35,103
2020-04-27 04:40:00,216.35,216.35,216.35,216.35,100
2020-04-27 04:38:00,216.26,216.26,216.26,216.26,522
2020-04-27 04:37:00,216.26,216.26,216.26,216.26,500
2020-04-27 04:36:00,216.21,216.29,216.21,216.25,676
2020-04-27 04:35:00,216.14,216.15,216.1,216.1,2200
2020-04-27 04:34:00,216.08,216.08,216.02,216.02,400
2020-04-27 04:33:00,215.99,216.04,215.99,216.04,1550
2020-04-27 04:31:00,216.15,216.15,215.98,215.98,2632
2020-04-27 04:30:00,216.13,216.13,216.13,216.13,720
2020-04-27 04:29:00,216.19,216.19,216.18,216.18,1185
2020-04-27 04:27:00,216.24,216.25,216.24,216.25,2393
2020-04-27 04:26:00,216.19,216.19,216.19,216.19,200
2020-04-27 04:25:00,216.18,216.18,216.18,216.18,440
2020-04-27 04:24:00,216.18,216.18,216.18,216.18,500
2020-04-27 04:23:00,216.14,216.14,216.14,216.14,156
2020-04-27 04:21:00,216.04,216.11,216.04,216.11,553
2020-04-27 04:20:00,216.18,216.18,216.1,216.1,1198
2020-04-27 04:19:00,216.19,216.19,216.19,216.19,140
2020-04-27 04:18:00,216.23,216.23,216.22,216.22,220
2020-04-27 04:17:00,216.21,216.22,216.18,216.18,400
2020-04-27 04:16:00,216.31,216.31,216.31,216.31,324
2020-04-27 04:15:00,216.4,216.4,216.4,216.4,1010
2020-04-27 04:14:00,216.45,216.51,216.44,216.51,1196
2020-04-27 04:09:00,216.4,216.4,216.38,216.38,446
2020-04-27 04:08:00,216.49,216.49,216.49,216.49,236
2020-04-27 04:06:00,216.4,216.45,216.4,216.45,600
2020-04-27 04:05:00,216.43,216.43,216.43,216.43,1173
2020-04-27 04:03:00,216.38,216.39,216.38,216.39,747
2020-04-27 04:02:00,216.55,216.61,216.4,216.4,2742
2020-04-27 04:01:00,216.55,216.65,216.55,216.65,4622
2020-04-24 20:00:00,214.44,214.49,214.22,214.4,7071
2020-04-24 19:59:00,214.29,214.5,214.24,214.24,7508
2020-04-24 19:58:00,214.3,214.3,214.2101,214.2101,1471
2020-04-24 19:57:00,214.3,214.3,214.25,214.3,2134
2020-04-24 19:55:00,214.2,214.3,214.2,214.3,3385
2020-04-24 19:54:00,214.25,214.25,214.25,214.25,1246
2020-04-24 19:53:00,214.23,214.23,214.23,214.23,1000
2020-04-24 19:51:00,214.22,214.22,214.2,214.2,1700
2020-04-24 19:49:00,214.23,214.27,214.23,214.24,6450
2020-04-24 19:47:00,214.24,214.27,214.19,214.19,1033
2020-04-24 19:46:00,214.19,214.19,214.19,214.19,827
2020-04-24 19:45:00,214.19,214.19,214.19,214.19,298
2020-04-24 19:44:00,214.19,214.19,214.16,214.19,1800
2020-04-24 19:43:00,214.14,214.14,214.14,214.14,1500
2020-04-24 19:42:00,214.19,214.19,214.19,214.19,2100
2020-04-24 19:41:00,214.06,214.11,214.06,214.11,2150
2020-04-24 19:39:00,214.18,214.19,214.18,214.19,502
2020-04-24 19:38:00,214.13,214.13,214.13,214.13,105
2020-04-24 19:36:00,214.14,214.14,214.14,214.14,356
2020-04-24 19:33:00,214.13,214.13,214.13,214.13,1000
2020-04-24 19:32:00,214.1,214.1,214.1,214.1,100
2020-04-24 19:29:00,214.08,214.08,214.08,214.08,502
2020-04-24 19:25:00,214.15,214.15,214.1,214.1,505
2020-04-24 19:14:00,214.08,214.44,214.08,214.44,4530
2020-04-24 19:13:00,214.02,214.02,214.02,214.02,616
2020-04-24 19:12:00,214.04,214.1,214.04,214.1,3136
2020-04-24 19:11:00,214.04,214.04,214.04,214.04,132
2020-04-24 19:09:00,214.09,214.09,214.09,214.09,422
2020-04-24 19:07:00,214.05,214.05,214.05,214.05,100
2020-04-24 19:02:00,214.03,214.03,214.03,214.03,550
2020-04-24 19:01:00,214.14,214.14,214.13,214.13,305
2020-04-24 19:00:00,214.13,214.13,214.13,214.13,200
2020-04-24 18:58:00,214.05,214.05,214.05,214.05,250
2020-04-24 18:57:00,214.03,214.03,214.03,214.03,1363
2020-04-24 18:55:00,214.01,214.01,214.01,214.01,150
2020-04-24 18:54:00,214.05,214.05,214.02,214.02,350
2020-04-24 18:53:00,214.05,214.05,214.05,214.05,305
2020-04-24 18:48:00,214.0,214.0,214.0,214.0,208
2020-04-24 18:34:00,214.0,214.0,214.0,214.0,139
2020-04-24 18:33:00,214.14,214.15,214.14,214.15,1555
2020-04-24 18:32:00,214.09,214.1,214.09,214.1,545
2020-04-24 18:31:00,214.1,214.1,214.09,214.09,7783
2020-04-24 18:30:00,214.07,214.09,214.07,214.09,1737
2020-04-24 18:27:00,213.99,213.99,213.99,213.99,701
2020-04-24 18:24:00,213.98,213.98,213.98,213.98,357
2020-04-24 18:23:00,214.0,214.0,214.0,214.0,199
2020-04-24 18:18:00,214.0,214.0,214.0,214.0,195
2020-04-24 18:17:00,214.0,214.0,214.0,214.0,114
2020-04-24 18:15:00,213.98,213.98,213.98,213.98,399
2020-04-24 18:14:00,214.09,214.09,214.03,214.03,401
2020-04-24 18:13:00,214.0,214.0,214.0,214.0,200
2020-04-24 18:10:00,214.0,214.0,214.0,214.0,224
2020-04-24 18:04:00,213.97,213.97,213.97,213.97,200
2020-04-24 17:59:00,214.06,214.06,214.06,214.06,640
2020-04-24 17:56:00,214.06,214.06,214.06,214.06,102
2020-04-24 17:55:00,214.14,214.14,214.14,214.14,200
2020-04-24 17:52:00,214.13,214.13,214.13,214.13,4290
2020-04-24 17:49:00,214.1,214.16,214.1,214.16,5702
2020-04-24 17:47:00,214.05,214.05,214.05,214.05,3025
2020-04-24 17:46:00,214.0,214.0,214.0,214.0,729
2020-04-24 17:43:00,214.05,214.05,214.05,214.05,500
2020-04-24 17:42:00,213.95,213.95,213.95,213.95,267
2020-04-24 17:41:00,213.97,213.97,213.95,213.95,716
2020-04-24 17:38:00,213.95,213.95,213.95,213.95,145
2020-04-24 17:35:00,213.99,214.0,213.99,214.0,997
2020-04-24 17:34:00,213.99,213.99,213.99,213.99,300
2020-04-24 17:33:00,213.95,213.95,213.95,213.95,349
2020-04-24 17:30:00,213.99,213.99,213.99,213.99,1369
2020-04-24 17:26:00,213.89,213.89,213.89,213.89,198
2020-04-24 17:24:00,213.91,213.91,213.91,213.91,1005
2020-04-24 17:23:00,213.9099,213.9099,213.9099,213.9099,1018
2020-04-24 17:22:00,213.9,213.9,213.9,213.9,560
2020-04-24 17:21:00,213.88,213.88,213.88,213.88,207
2020-04-24 17:20:00,213.86,213.86,213.84,213.84,774
2020-04-24 17:19:00,213.86,213.86,213.86,213.86,848
2020-04-24 17:17:00,213.9,213.9,213.84,213.84,4713
2020-04-24 17:16:00,213.91,213.91,213.91,213.91,100
2020-04-24 17:14:00,213.9,213.9,213.9,213.9,375
2020-04-24 17:13:00,213.9,213.9,213.9,213.9,506
